customer_id,customer_name,gender,member_level
100203,何妍玲02,男,铂金
100204,林涛阳03,男,白银
100205,何晨玲04,男,铂金
100206,郭涛雪05,男,白银
100207,胡婷源06,女,普通
100208,高航玲07,男,普通
100209,吴宇豪08,女,普通
100210,罗然源09,女,普通
100211,孙敏玲10,男,白银
100212,高琪涵11,女,白银
100213,孙杰文12,男,铂金
100214,朱涛彤13,男,黑金
100215,吴欣玲14,女,钻石
100216,郑睿文15,女,普通
100217,胡妍凯16,男,普通
100218,陈怡悦17,男,白银
100219,何涛峰18,女,白银
100220,孙博文19,男,钻石
100221,林宇凯20,男,普通
100222,孙睿雪21,女,黄金
100223,罗宁雪22,男,黑金
100224,周婷彤23,男,黄金
100225,吴妍琪24,女,白银
100226,朱博源25,女,钻石
100227,吴轩彤26,男,白银
100228,胡宁莉27,男,黄金
100229,朱敏雪28,女,钻石
100230,林然源29,男,黑金
100231,郭轩阳30,男,黑金
100232,郑宁豪31,女,普通
100233,胡睿涵32,女,铂金
100234,吴婷阳33,女,铂金
100235,何敏阳34,男,钻石
100236,胡宇涵35,男,黄金
100237,徐轩源36,男,黄金
100238,高轩源37,女,普通
100239,朱欣文38,男,普通
100240,周欣彤39,女,白银
100241,周婷源40,女,普通
100242,陈敏玲41,男,白银
100243,朱欣阳42,女,普通
100244,孙睿悦43,男,黑金
100245,徐然玲44,女,白银
100246,郭敏莉45,男,白银
100247,林宇阳46,男,白银
100248,郑涛佳47,男,白银
100249,高涛悦48,男,钻石
100250,郭欣玲49,女,黄金
100251,郭睿涵50,男,铂金
100252,何妍悦51,男,黄金
100253,郑轩雪52,女,白银
100254,马航琪53,男,黄金
100255,郑轩凯54,男,普通
100256,胡欣悦55,男,普通
100257,高睿佳56,男,普通
100258,林轩凯57,女,黄金
100259,周涛峰58,女,白银
100260,罗欣悦59,男,钻石
100261,胡博琪60,女,黑金
100262,朱琪佳61,女,黑金
100263,陈涛凯62,女,黄金
100264,高琪珂63,女,钻石
100265,陈轩峰64,女,白银
100266,朱轩彤65,女,黄金
100267,周晨彤66,女,普通
100268,高杰凯67,女,白银
100269,孙怡莉68,男,普通
100270,林欣凯69,男,普通
100271,吴然文70,男,白银
100272,高涛涵71,女,普通
100273,黄妍玲72,女,钻石
100274,陈婷琪73,男,黄金
100275,胡然源74,女,黄金
100276,胡宇涵75,男,白银
100277,吴婷雪76,男,普通
100278,林晨阳77,女,白银
100279,何怡豪78,女,黄金
100280,林晨雪79,男,普通
100281,罗博豪80,女,普通
100282,徐宇涵81,女,黄金
100283,朱航莉82,男,铂金
100284,郭杰莉83,女,白银
100285,黄欣彤84,女,普通
100286,徐宇莉85,女,普通
100287,郭怡琪86,男,普通
100288,高怡珂87,男,铂金
100289,郭睿峰88,男,黑金
100290,朱怡阳89,女,白银
100291,郭航源90,男,白银
100292,何宇凯91,男,普通
100293,周轩琪92,男,白银
100294,高妍源93,女,钻石
100295,徐航凯94,男,黄金
100296,何宇阳95,男,黑金
100297,朱妍阳96,女,白银
100298,罗然珂00,男,普通
100299,高睿玲01,男,普通
100300,马欣佳02,男,钻石
100301,孙宁峰03,男,普通
100302,郭睿玲04,男,黄金
100303,郭琪琪05,女,铂金
100304,吴轩源06,女,白银
100305,朱轩琪07,女,普通
100306,孙博琪08,男,白银
100307,罗琪涵09,男,铂金
100308,胡睿涵10,男,普通
100309,胡妍彤11,女,黑金
100310,周宇彤12,男,钻石
100311,黄涛珂13,男,铂金
100312,何宁峰14,女,黄金
100313,高欣珂15,男,黄金
100314,朱轩彤16,女,铂金
100315,郑晨彤17,女,普通
100316,高晨莉18,男,黄金
100317,林博莉19,男,黄金
100318,高琪彤20,男,黄金
100319,孙轩悦21,男,黄金
100320,孙婷阳22,男,黄金
100321,郭琪源23,女,白银
100322,胡琪阳24,男,白银
100323,胡妍阳25,女,铂金
100324,胡航彤26,女,白银
100325,何宇佳27,男,钻石
100326,高婷珂28,男,普通
100327,何博悦29,男,白银
100328,徐敏琪30,男,普通
100329,郑博雪31,女,普通
100330,孙欣源32,女,铂金
100331,朱杰玲33,男,黄金
100332,孙婷玲34,男,钻石
100333,何怡雪35,男,普通
100334,朱敏玲36,男,钻石
100335,高轩玲37,男,普通
100336,胡欣阳38,女,黑金
100337,周航凯39,男,铂金
100338,郭航珂40,男,黄金
100339,林宇凯41,女,铂金
100340,林敏文42,女,普通
100341,黄航悦43,女,白银
100342,周涛佳44,女,黄金
100343,徐轩豪45,女,白银
100344,徐睿文46,女,普通
100345,郑杰凯47,女,普通
100346,郭睿莉48,男,黄金
100347,高博豪49,男,普通
100348,徐琪豪50,男,普通
100349,陈杰玲51,男,白银
100350,郭航佳52,男,黑金
100351,马然豪53,男,白银
100352,郑然豪54,女,铂金
100353,罗宇文55,女,白银
100354,林宇雪56,男,钻石
100355,吴婷珂57,男,普通
100356,黄欣悦58,女,黑金
100357,罗妍源59,女,钻石
100358,郑航涵60,女,黑金
100359,高宁豪61,女,钻石
100360,马睿阳62,男,黄金
100361,郭航佳63,女,普通
100362,郭轩佳64,男,普通
100363,林涛豪65,男,白银
100364,陈晨文66,男,白银
100365,朱怡源67,女,铂金
100366,孙睿凯68,女,黄金
100367,孙涛莉69,男,钻石
100368,黄怡彤70,男,白银
100369,郭轩雪71,女,黄金
100370,马涛阳72,男,普通
100371,郑宁峰73,男,黄金
100372,马航源74,男,普通
100373,高杰凯75,女,普通
100374,郑睿阳76,男,黑金
100375,郑杰玲77,女,黄金
100376,吴航源78,男,白银
100377,马宇琪79,男,铂金
100378,郑欣悦80,女,普通
100379,马航豪81,男,黄金
100380,高晨琪82,男,白银
100381,郭杰佳83,女,黄金
100382,孙怡豪84,女,黄金
100383,何婷雪85,女,白银
100384,郑然峰86,男,普通
100385,孙宇珂87,男,普通
100386,孙博玲88,男,普通
100387,何怡凯89,男,铂金
100388,高睿雪90,男,普通
100389,郭宇雪91,男,普通
100390,朱博阳92,男,钻石
100391,罗睿雪93,女,钻石
100392,孙然凯94,男,普通
100393,郑欣彤95,男,普通
100394,朱欣悦96,女,普通
100395,郭睿凯00,男,铂金
100396,徐博彤01,女,黄金
100397,朱晨莉02,女,铂金
100398,朱轩涵03,男,普通
100399,高博文04,男,黄金
100400,郑晨涵05,女,黄金
100401,罗博涵06,男,铂金
100402,朱妍莉07,女,白银
100403,林宁凯08,女,铂金
100404,周睿玲09,女,白银
100405,马轩琪10,女,钻石
100406,周睿彤11,女,白银
100407,罗妍涵12,男,钻石
100408,林宁凯13,男,普通
100409,陈宁凯14,男,铂金
100410,徐航阳15,女,普通
100411,郑轩彤16,男,钻石
100412,郭晨豪17,女,钻石
100413,林杰彤18,女,白银
100414,吴妍文19,女,普通
100415,马杰玲20,女,铂金
100416,高晨彤21,女,普通
100417,郭怡珂22,女,普通
100418,周怡阳23,男,普通
100419,罗晨佳24,男,白银
100420,郭宇琪25,女,普通
100421,高涛佳26,女,黄金
100422,徐妍豪27,男,钻石
100423,周杰佳28,女,铂金
100424,陈宇悦29,男,白银
100425,林涛悦30,男,普通
100426,马宇峰31,女,普通
100427,胡轩文32,男,普通
100428,周欣源33,女,铂金
100429,徐杰莉34,男,白银
100430,罗博阳35,女,普通
100431,林妍文36,女,白银
100432,徐轩珂37,男,普通
100433,胡欣豪38,女,普通
100434,高然豪39,女,普通
100435,罗杰涵40,男,黄金
100436,郑涛悦41,男,铂金
100437,林博悦42,男,黄金
100438,高怡文43,男,白银
100439,胡轩玲44,男,铂金
100440,陈晨涵45,男,铂金
100441,高航彤46,女,白银
100442,郑睿文47,女,普通
100443,吴琪琪48,女,铂金
100444,何敏彤49,女,黄金
100445,郑杰佳50,女,铂金
100446,孙宇悦51,男,白银
100447,朱欣珂52,女,普通
100448,何琪悦53,女,普通
100449,胡婷悦54,男,普通
100450,林航琪55,男,普通
100451,徐宇文56,男,白银
100452,黄婷阳57,女,普通
100453,徐敏豪58,男,铂金
100454,朱妍凯59,女,白银
100455,吴婷莉60,女,钻石
100456,周宇涵61,男,普通
100457,朱博源62,女,黄金
100458,朱晨涵63,男,普通
100459,郑然峰64,女,白银
100460,何睿阳65,女,铂金
100461,朱然琪66,女,钻石
100462,林轩源67,男,白银
100463,罗涛悦68,女,白银
100464,何妍源69,男,铂金
100465,罗杰彤70,男,黄金
100466,罗轩玲71,女,白银
100467,罗敏玲72,女,铂金
100468,黄博雪73,女,普通
100469,何敏玲74,男,黄金
100470,高琪凯75,男,铂金
100471,高琪莉76,男,黑金
100472,黄轩莉77,男,普通
100473,何博佳78,男,白银
100474,林涛悦79,男,普通
100475,郭杰文80,女,钻石
100476,周婷豪81,男,白银
100477,罗杰莉82,男,黄金
100478,郭涛涵83,女,白银
100479,陈晨文84,男,白银
100480,郑晨源85,女,黄金
100481,罗宇珂86,男,白银
100482,吴宁佳87,男,普通
100483,周怡雪88,男,黄金
100484,何怡佳89,男,普通
100485,朱敏文90,男,黄金
100486,朱轩玲91,男,钻石
100487,罗欣雪92,女,铂金
100488,周妍珂93,女,铂金
100489,陈航雪94,男,钻石
100490,徐睿雪95,男,普通
100491,朱欣玲96,男,普通
100492,陈航阳00,男,黄金
100493,马博雪01,男,白银
100494,郑妍凯02,女,普通
100495,陈妍悦03,女,黄金
100496,何博珂04,女,白银
100497,郑妍莉05,男,白银
100498,郭杰珂06,女,白银
100499,陈婷文07,女,普通
100500,吴宁雪08,男,白银
100501,周欣悦09,男,黄金
100502,高轩源10,男,普通
100503,胡航涵11,男,铂金
100504,朱博莉12,男,白银
100505,罗怡文13,女,普通
100506,胡涛悦14,男,黑金
100507,郭琪彤15,女,黄金
100508,何晨源16,男,白银
100509,郑宁玲17,女,黑金
100510,罗宇珂18,男,钻石
100511,孙睿源19,男,黑金
100512,吴轩涵20,女,普通
100513,吴轩珂21,女,白银
100514,马宁彤22,女,钻石
100515,吴琪琪23,男,白银
100516,胡宁莉24,男,黄金
100517,林敏涵25,男,普通
100518,朱睿莉26,女,铂金
100519,孙宇源27,女,黄金
100520,孙宁悦28,男,普通
100521,郭婷悦29,女,白银
100522,朱婷琪30,女,普通
100523,郑晨雪31,女,黑金
100524,陈航豪32,男,铂金
100525,周然佳33,女,普通
100526,马晨琪34,女,普通
100527,马琪佳35,男,黄金
100528,吴轩豪36,男,黄金
100529,胡怡涵37,女,白银
100530,吴欣佳38,男,白银
100531,周婷莉39,男,普通
100532,朱妍涵40,男,普通
100533,郭怡彤41,女,黄金
100534,胡宁佳42,男,白银
100535,孙睿佳43,女,铂金
100536,胡敏凯44,女,普通
100537,朱琪佳45,女,普通
100538,徐晨凯46,男,普通
100539,马敏佳47,女,铂金
100540,吴然阳48,女,黄金
100541,高晨文49,男,黑金
100542,黄杰玲50,女,黄金
100543,徐琪阳51,女,白银
100544,陈琪豪52,女,黄金
100545,陈睿阳53,女,黑金
100546,林敏豪54,男,白银
100547,何杰阳55,女,白银
100548,孙琪涵56,男,普通
100549,郑睿悦57,女,白银
100550,胡婷豪58,女,白银
100551,何妍源59,男,白银
100552,郑博悦60,男,普通
100553,郭婷悦61,女,普通
100554,高轩文62,女,普通
100555,周婷峰63,男,黄金
100556,林婷玲64,男,普通
100557,林博珂65,女,黄金
100558,罗怡涵66,女,黑金
100559,郭妍雪67,女,黄金
100560,罗敏琪68,女,普通
100561,罗睿彤69,女,普通
100562,郭敏佳70,女,钻石
100563,朱杰豪71,男,白银
100564,马怡彤72,男,钻石
100565,吴婷佳73,男,白银
100566,周杰源74,女,黑金
100567,郭杰莉75,女,黄金
100568,吴博涵76,女,钻石
100569,罗婷源77,女,普通
100570,陈然峰78,男,黄金
100571,何宁玲79,女,普通
100572,郭晨莉80,男,普通
100573,孙博源81,男,普通
100574,郭欣珂82,女,黄金
100575,陈睿雪83,男,钻石
100576,马宁彤84,女,白银
100577,马然彤85,男,黄金
100578,周航凯86,男,黄金
100579,朱涛峰87,女,黑金
100580,孙轩凯88,女,铂金
100581,孙航玲89,女,普通
100582,林涛峰90,男,铂金
100583,郑琪琪91,男,普通
100584,罗妍涵92,男,普通
100585,郭杰雪93,男,黄金
100586,罗涛珂94,女,白银
100587,朱博彤95,男,黄金
100588,林博文96,男,钻石
100589,徐然源00,女,黄金
100590,陈婷源01,男,白银
100591,马晨佳02,女,普通
100592,罗敏源03,男,铂金
100593,孙航源04,男,普通
100594,孙宁莉05,男,铂金
100595,陈杰源06,女,普通
100596,吴睿涵07,女,铂金
100597,胡涛涵08,女,普通
100598,陈杰彤09,男,黑金
100599,何睿悦10,男,普通
100600,何敏雪11,男,普通
